"","Time","Name","Lon","Lat","Description","newtime"
"165","Sat, 09 Aug 14 21:23:22 +0000","Providence Coal Fired Pizza",-71.4148877675663,41.8214265485109,"@",2014-08-09
"166","Fri, 08 Aug 14 01:01:00 +0000","Arnold's Lobster &amp; Clam Bar",-69.9826672714728,41.8437773198105,"@",2014-08-08
"167","Thu, 07 Aug 14 20:27:47 +0000","Mac's Shack",-70.0297546825112,41.9346531324201,"@",2014-08-07
"168","Thu, 07 Aug 14 14:58:42 +0000","Hole In One Donut Shop",-69.9871569117931,41.8554478528088,"@",2014-08-07
"169","Fri, 01 Aug 14 13:44:39 +0000","AT&amp;T",-73.9823285836538,40.7630504130499,"@",2014-08-01
"170","Thu, 31 Jul 14 22:26:43 +0000","Friend of a Farmer",-73.9867649078172,40.736859978095,"@",2014-07-31
"171","Thu, 31 Jul 14 14:20:47 +0000","Pie Face",-73.982552411001,40.7631979543486,"@",2014-07-31
"172","Thu, 31 Jul 14 13:29:35 +0000","Midtown Manhattan",-73.9847849310388,40.7629457065035,"@",2014-07-31
"173","Tue, 29 Jul 14 20:25:24 +0000","Kaya's Kitchen",-74.0249773201932,40.1789898794385,"@",2014-07-29
"174","Tue, 29 Jul 14 17:40:21 +0000","Coffee Talk",-74.7608775567336,39.0536917142775,"@",2014-07-29
"175","Tue, 29 Jul 14 01:32:37 +0000","M'Ocean",-74.9209143059987,38.9302647173358,"@",2014-07-29
"176","Mon, 28 Jul 14 17:09:46 +0000","Bella Vida",-74.9302820873168,38.9386006598587,"@",2014-07-28
"177","Mon, 28 Jul 14 01:13:41 +0000","Mad Batter",-74.9224842032621,38.9311643072091,"@",2014-07-28
"178","Mon, 28 Jul 14 00:21:07 +0000","The Dormer House",-74.9171864531244,38.9339754655572,"@",2014-07-28
"179","Fri, 25 Jul 14 01:31:47 +0000","Guerriero's",-74.4766126319905,40.7926480478595,"@",2014-07-25
"180","Thu, 24 Jul 14 16:11:03 +0000","Mountain Creek Waterpark",-74.5032374573049,41.1920083776353,"@",2014-07-24
"181","Mon, 21 Jul 14 23:17:56 +0000","Apple Store, Short Hills",-74.3703080029351,40.7370822802405,"@",2014-07-21
"182","Fri, 18 Jul 14 12:20:45 +0000","Birch Coffee",-73.9863803921852,40.7434307920129,"@",2014-07-18
"183","Thu, 17 Jul 14 00:11:57 +0000","Havana Koi",-74.4785357985082,40.7944766707231,"@",2014-07-17
